Epi_Year,Epi_Week,Region,Cases,Data_Source,Notes
2021,14,KOTA YOGYAKARTA,2,ewars_backfill,
2021,15,KAB BANTUL,17,ewars_backfill,
2021,15,KAB GUNUNG KIDUL,0,ewars_backfill,
2021,15,KAB KULON PROGO,2,ewars_backfill,
2021,15,KAB SLEMAN,19,ewars_backfill,
2021,15,KOTA YOGYAKARTA,1,ewars_backfill,
2021,16,KAB BANTUL,11,ewars_backfill,
2021,16,KAB GUNUNG KIDUL,1,ewars_backfill,
2021,16,KAB KULON PROGO,4,ewars_backfill,
2021,16,KAB SLEMAN,26,ewars_backfill,
2021,16,KOTA YOGYAKARTA,0,ewars_backfill,
2021,17,KAB BANTUL,7,ewars_backfill,
2021,17,KAB GUNUNG KIDUL,0,ewars_backfill,
2021,17,KAB KULON PROGO,2,ewars_backfill,
2021,17,KAB SLEMAN,17,ewars_backfill,
2021,17,KOTA YOGYAKARTA,8,ewars_backfill,
2021,18,KAB BANTUL,8,ewars_backfill,
2021,18,KAB GUNUNG KIDUL,0,ewars_backfill,
2021,18,KAB KULON PROGO,5,ewars_backfill,
2021,18,KAB SLEMAN,8,ewars_backfill,
2021,18,KOTA YOGYAKARTA,0,ewars_backfill,
2021,19,KAB BANTUL,11,ewars_backfill,
2021,19,KAB GUNUNG KIDUL,1,ewars_backfill,
2021,19,KAB KULON PROGO,2,ewars_backfill,
2021,19,KAB SLEMAN,21,ewars_backfill,
2021,19,KOTA YOGYAKARTA,0,ewars_backfill,
2021,20,KAB BANTUL,9,ewars_backfill,
2021,20,KAB GUNUNG KIDUL,1,ewars_backfill,
2021,20,KAB KULON PROGO,2,ewars_backfill,
2021,20,KAB SLEMAN,11,ewars_backfill,
2021,20,KOTA YOGYAKARTA,1,ewars_backfill,
2021,21,KAB BANTUL,12,ewars_backfill,
2021,21,KAB GUNUNG KIDUL,0,ewars_backfill,
2021,21,KAB KULON PROGO,2,ewars_backfill,
2021,21,KAB SLEMAN,22,ewars_backfill,
2021,21,KOTA YOGYAKARTA,0,ewars_backfill,
2021,22,KAB BANTUL,11,ewars_backfill,
2021,22,KAB GUNUNG KIDUL,2,ewars_backfill,
2021,22,KAB KULON PROGO,2,ewars_backfill,
2021,22,KAB SLEMAN,17,ewars_backfill,
2021,22,KOTA YOGYAKARTA,1,ewars_backfill,
2021,23,KAB BANTUL,7,ewars_backfill,
2021,23,KAB GUNUNG KIDUL,0,ewars_backfill,
2021,23,KAB KULON PROGO,0,ewars_backfill,
2021,23,KAB SLEMAN,16,ewars_backfill,
2021,23,KOTA YOGYAKARTA,1,ewars_backfill,
2021,24,KAB BANTUL,17,ewars_backfill,
2021,24,KAB GUNUNG KIDUL,1,ewars_backfill,
2021,24,KAB KULON PROGO,4,ewars_backfill,
2021,24,KAB SLEMAN,14,ewars_backfill,
2021,24,KOTA YOGYAKARTA,4,ewars_backfill,
2021,25,KAB BANTUL,10,ewars_backfill,
2021,25,KAB GUNUNG KIDUL,1,ewars_backfill,
2021,25,KAB KULON PROGO,4,ewars_backfill,
2021,25,KAB SLEMAN,10,ewars_backfill,
2021,25,KOTA YOGYAKARTA,1,ewars_backfill,
2021,26,KAB BANTUL,13,ewars_backfill,
2021,26,KAB GUNUNG KIDUL,0,ewars_backfill,
2021,26,KAB KULON PROGO,7,ewars_backfill,
2021,26,KAB SLEMAN,6,ewars_backfill,
2021,26,KOTA YOGYAKARTA,3,ewars_backfill,
2021,27,KAB BANTUL,10,ewars_backfill,
2021,27,KAB GUNUNG KIDUL,0,ewars_backfill,
2021,27,KAB KULON PROGO,2,ewars_backfill,
2021,27,KAB SLEMAN,10,ewars_backfill,
2021,27,KOTA YOGYAKARTA,0,ewars_backfill,
2021,28,KAB BANTUL,5,ewars_backfill,
2021,28,KAB GUNUNG KIDUL,0,ewars_backfill,
2021,28,KAB KULON PROGO,0,ewars_backfill,
2021,28,KAB SLEMAN,13,ewars_backfill,
2021,28,KOTA YOGYAKARTA,0,ewars_backfill,
2021,29,KAB BANTUL,7,ewars_backfill,
2021,29,KAB GUNUNG KIDUL,0,ewars_backfill,
2021,29,KAB KULON PROGO,0,ewars_backfill,
2021,29,KAB SLEMAN,12,ewars_backfill,
2021,29,KOTA YOGYAKARTA,0,ewars_backfill,
2021,30,KAB BANTUL,4,ewars_backfill,
2021,30,KAB GUNUNG KIDUL,1,ewars_backfill,
2021,30,KAB KULON PROGO,0,ewars_backfill,
2021,30,KAB SLEMAN,8,ewars_backfill,
2021,30,KOTA YOGYAKARTA,0,ewars_backfill,
2021,31,KAB BANTUL,7,ewars_backfill,
2021,31,KAB GUNUNG KIDUL,0,ewars_backfill,
2021,31,KAB KULON PROGO,0,ewars_backfill,
2021,31,KAB SLEMAN,9,ewars_backfill,
2021,31,KOTA YOGYAKARTA,1,ewars_backfill,
2021,32,KAB BANTUL,14,ewars_backfill,
2021,32,KAB GUNUNG KIDUL,0,ewars_backfill,
2021,32,KAB KULON PROGO,0,ewars_backfill,
2021,32,KAB SLEMAN,1,ewars_backfill,
2021,32,KOTA YOGYAKARTA,1,ewars_backfill,
2021,33,KAB BANTUL,6,ewars_backfill,
2021,33,KAB GUNUNG KIDUL,0,ewars_backfill,
2021,33,KAB KULON PROGO,0,ewars_backfill,
2021,33,KAB SLEMAN,9,ewars_backfill,
2021,33,KOTA YOGYAKARTA,0,ewars_backfill,
2021,34,KAB BANTUL,3,ewars_backfill,
2021,34,KAB GUNUNG KIDUL,0,ewars_backfill,
2021,34,KAB KULON PROGO,0,ewars_backfill,
2021,34,KAB SLEMAN,4,ewars_backfill,
2021,34,KOTA YOGYAKARTA,2,ewars_backfill,
2021,35,KAB BANTUL,4,ewars_backfill,
2021,35,KAB GUNUNG KIDUL,1,ewars_backfill,
2021,35,KAB KULON PROGO,0,ewars_backfill,
2021,35,KAB SLEMAN,10,ewars_backfill,
2021,35,KOTA YOGYAKARTA,2,ewars_backfill,
2021,36,KAB BANTUL,13,ewars_backfill,
2021,36,KAB GUNUNG KIDUL,1,ewars_backfill,
2021,36,KAB KULON PROGO,0,ewars_backfill,
2021,36,KAB SLEMAN,10,ewars_backfill,
2021,36,KOTA YOGYAKARTA,0,ewars_backfill,
2021,37,KAB BANTUL,12,ewars_backfill,
2021,37,KAB GUNUNG KIDUL,0,ewars_backfill,
2021,37,KAB KULON PROGO,3,ewars_backfill,
2021,37,KAB SLEMAN,7,ewars_backfill,
2021,37,KOTA YOGYAKARTA,0,ewars_backfill,
2021,38,KAB BANTUL,14,ewars_backfill,
2021,38,KAB GUNUNG KIDUL,1,ewars_backfill,
2021,38,KAB KULON PROGO,0,ewars_backfill,
2021,38,KAB SLEMAN,9,ewars_backfill,
2021,38,KOTA YOGYAKARTA,2,ewars_backfill,
2021,39,KAB BANTUL,21,ewars_backfill,
2021,39,KAB GUNUNG KIDUL,1,ewars_backfill,
2021,39,KAB KULON PROGO,0,ewars_backfill,
2021,39,KAB SLEMAN,9,ewars_backfill,
2021,39,KOTA YOGYAKARTA,2,ewars_backfill,
2021,40,KAB BANTUL,16,ewars_backfill,
2021,40,KAB GUNUNG KIDUL,1,ewars_backfill,
2021,40,KAB KULON PROGO,1,ewars_backfill,
2021,40,KAB SLEMAN,10,ewars_backfill,
2021,40,KOTA YOGYAKARTA,2,ewars_backfill,
2021,41,KAB BANTUL,2,ewars_backfill,
2021,41,KAB GUNUNG KIDUL,1,ewars_backfill,
2021,41,KAB KULON PROGO,0,ewars_backfill,
2021,41,KAB SLEMAN,16,ewars_backfill,
2021,41,KOTA YOGYAKARTA,0,ewars_backfill,
2021,42,KAB BANTUL,11,ewars_backfill,
2021,42,KAB GUNUNG KIDUL,2,ewars_backfill,
2021,42,KAB KULON PROGO,1,ewars_backfill,
2021,42,KAB SLEMAN,8,ewars_backfill,
2021,42,KOTA YOGYAKARTA,3,ewars_backfill,
2021,43,KAB BANTUL,20,ewars_backfill,
2021,43,KAB GUNUNG KIDUL,2,ewars_backfill,
2021,43,KAB KULON PROGO,2,ewars_backfill,
2021,43,KAB SLEMAN,14,ewars_backfill,
2021,43,KOTA YOGYAKARTA,1,ewars_backfill,
2021,44,KAB BANTUL,23,ewars_backfill,
2021,44,KAB GUNUNG KIDUL,4,ewars_backfill,
2021,44,KAB KULON PROGO,0,ewars_backfill,
2021,44,KAB SLEMAN,2,ewars_backfill,
2021,44,KOTA YOGYAKARTA,5,ewars_backfill,
2021,45,KAB BANTUL,22,ewars_backfill,
2021,45,KAB GUNUNG KIDUL,4,ewars_backfill,
2021,45,KAB KULON PROGO,1,ewars_backfill,
2021,45,KAB SLEMAN,12,ewars_backfill,
2021,45,KOTA YOGYAKARTA,2,ewars_backfill,
2021,46,KAB BANTUL,21,ewars_backfill,
2021,46,KAB GUNUNG KIDUL,4,ewars_backfill,
2021,46,KAB KULON PROGO,0,ewars_backfill,
2021,46,KAB SLEMAN,11,ewars_backfill,
2021,46,KOTA YOGYAKARTA,5,ewars_backfill,
2021,47,KAB BANTUL,46,ewars_backfill,
2021,47,KAB GUNUNG KIDUL,5,ewars_backfill,
2021,47,KAB KULON PROGO,6,ewars_backfill,
2021,47,KAB SLEMAN,16,ewars_backfill,
2021,47,KOTA YOGYAKARTA,3,ewars_backfill,
2021,48,KAB BANTUL,39,ewars_backfill,
2021,48,KAB GUNUNG KIDUL,16,ewars_backfill,
2021,48,KAB KULON PROGO,2,ewars_backfill,
2021,48,KAB SLEMAN,15,ewars_backfill,
2021,48,KOTA YOGYAKARTA,7,ewars_backfill,
2021,49,KAB BANTUL,39,ewars_backfill,
2021,49,KAB GUNUNG KIDUL,12,ewars_backfill,
2021,49,KAB KULON PROGO,7,ewars_backfill,
2021,49,KAB SLEMAN,15,ewars_backfill,
2021,49,KOTA YOGYAKARTA,2,ewars_backfill,
2021,50,KAB BANTUL,33,ewars_backfill,
2021,50,KAB GUNUNG KIDUL,8,ewars_backfill,
2021,50,KAB KULON PROGO,5,ewars_backfill,
2021,50,KAB SLEMAN,12,ewars_backfill,
2021,50,KOTA YOGYAKARTA,8,ewars_backfill,
2021,51,KAB BANTUL,21,ewars_backfill,
2021,51,KAB GUNUNG KIDUL,12,ewars_backfill,
2021,51,KAB KULON PROGO,8,ewars_backfill,
2021,51,KAB SLEMAN,1,ewars_backfill,
2021,51,KOTA YOGYAKARTA,1,ewars_backfill,
2021,52,KAB BANTUL,0,ewars_backfill,
2021,52,KAB GUNUNG KIDUL,1,ewars_backfill,
2021,52,KAB KULON PROGO,0,ewars_backfill,
2021,52,KAB SLEMAN,0,ewars_backfill,
2021,52,KOTA YOGYAKARTA,2,ewars_backfill,
2022,1,KAB BANTUL,32,ewars_backfill,
2022,1,KAB GUNUNG KIDUL,10,ewars_backfill,
2022,1,KAB KULON PROGO,25,ewars_backfill,
2022,1,KAB SLEMAN,26,ewars_backfill,
2022,1,KOTA YOGYAKARTA,7,ewars_backfill,
2022,2,KAB BANTUL,37,ewars_backfill,
2022,2,KAB GUNUNG KIDUL,12,ewars_backfill,
2022,2,KAB KULON PROGO,27,ewars_backfill,
2022,2,KAB SLEMAN,16,ewars_backfill,
2022,2,KOTA YOGYAKARTA,8,ewars_backfill,
2022,3,KAB BANTUL,25,ewars_backfill,
2022,3,KAB GUNUNG KIDUL,9,ewars_backfill,
2022,3,KAB KULON PROGO,14,ewars_backfill,
2022,3,KAB SLEMAN,14,ewars_backfill,
2022,3,KOTA YOGYAKARTA,4,ewars_backfill,
2022,4,KAB BANTUL,30,ewars_backfill,
2022,4,KAB GUNUNG KIDUL,7,ewars_backfill,
2022,4,KAB KULON PROGO,4,ewars_backfill,
2022,4,KAB SLEMAN,17,ewars_backfill,
2022,4,KOTA YOGYAKARTA,6,ewars_backfill,
2022,5,KAB BANTUL,26,ewars_backfill,
2022,5,KAB GUNUNG KIDUL,12,ewars_backfill,
2022,5,KAB KULON PROGO,13,ewars_backfill,
2022,5,KAB SLEMAN,8,ewars_backfill,
2022,5,KOTA YOGYAKARTA,3,ewars_backfill,
2022,6,KAB BANTUL,26,ewars_backfill,
2022,6,KAB GUNUNG KIDUL,7,ewars_backfill,
2022,6,KAB KULON PROGO,3,ewars_backfill,
2022,6,KAB SLEMAN,12,ewars_backfill,
2022,6,KOTA YOGYAKARTA,1,ewars_backfill,
2022,7,KAB BANTUL,17,ewars_backfill,
2022,7,KAB GUNUNG KIDUL,2,ewars_backfill,
2022,7,KAB KULON PROGO,3,ewars_backfill,
2022,7,KAB SLEMAN,4,ewars_backfill,
2022,7,KOTA YOGYAKARTA,1,ewars_backfill,
2022,8,KAB BANTUL,10,ewars_backfill,
2022,8,KAB GUNUNG KIDUL,3,ewars_backfill,
2022,8,KAB KULON PROGO,3,ewars_backfill,
2022,8,KAB SLEMAN,1,ewars_backfill,
2022,8,KOTA YOGYAKARTA,1,ewars_backfill,
2022,9,KAB BANTUL,13,ewars_backfill,
2022,9,KAB GUNUNG KIDUL,3,ewars_backfill,
2022,9,KAB KULON PROGO,0,ewars_backfill,
2022,9,KAB SLEMAN,3,ewars_backfill,
2022,9,KOTA YOGYAKARTA,1,ewars_backfill,
2022,10,KAB BANTUL,20,ewars_backfill,
2022,10,KAB GUNUNG KIDUL,2,ewars_backfill,
2022,10,KAB KULON PROGO,4,ewars_backfill,
2022,10,KAB SLEMAN,2,ewars_backfill,
2022,10,KOTA YOGYAKARTA,4,ewars_backfill,
2022,11,KAB BANTUL,18,ewars_backfill,
2022,11,KAB GUNUNG KIDUL,3,ewars_backfill,
2022,11,KAB KULON PROGO,3,ewars_backfill,
2022,11,KAB SLEMAN,8,ewars_backfill,
2022,11,KOTA YOGYAKARTA,0,ewars_backfill,
2022,12,KAB BANTUL,17,ewars_backfill,
2022,12,KAB GUNUNG KIDUL,3,ewars_backfill,
2022,12,KAB KULON PROGO,7,ewars_backfill,
2022,12,KAB SLEMAN,7,ewars_backfill,
2022,12,KOTA YOGYAKARTA,2,ewars_backfill,
2022,13,KAB BANTUL,14,ewars_backfill,
2022,13,KAB GUNUNG KIDUL,5,ewars_backfill,
2022,13,KAB KULON PROGO,2,ewars_backfill,
2022,13,KAB SLEMAN,13,ewars_backfill,
2022,13,KOTA YOGYAKARTA,1,ewars_backfill,
2022,14,KAB BANTUL,19,ewars_backfill,
2022,14,KAB GUNUNG KIDUL,7,ewars_backfill,
2022,14,KAB KULON PROGO,1,ewars_backfill,
2022,14,KAB SLEMAN,8,ewars_backfill,
2022,14,KOTA YOGYAKARTA,0,ewars_backfill,
2022,15,KAB BANTUL,16,ewars_backfill,
2022,15,KAB GUNUNG KIDUL,4,ewars_backfill,
2022,15,KAB KULON PROGO,2,ewars_backfill,
2022,15,KAB SLEMAN,5,ewars_backfill,
2022,15,KOTA YOGYAKARTA,4,ewars_backfill,
2022,16,KAB BANTUL,11,ewars_backfill,
2022,16,KAB GUNUNG KIDUL,1,ewars_backfill,
2022,16,KAB KULON PROGO,2,ewars_backfill,
2022,16,KAB SLEMAN,10,ewars_backfill,
2022,16,KOTA YOGYAKARTA,2,ewars_backfill,
2022,17,KAB BANTUL,10,ewars_backfill,
2022,17,KAB GUNUNG KIDUL,0,ewars_backfill,
2022,17,KAB KULON PROGO,3,ewars_backfill,
2022,17,KAB SLEMAN,6,ewars_backfill,
2022,17,KOTA YOGYAKARTA,2,ewars_backfill,
2022,18,KAB BANTUL,17,ewars_backfill,
2022,18,KAB GUNUNG KIDUL,3,ewars_backfill,
2022,18,KAB KULON PROGO,6,ewars_backfill,
2022,18,KAB SLEMAN,16,ewars_backfill,
2022,18,KOTA YOGYAKARTA,4,ewars_backfill,
2022,19,KAB BANTUL,21,ewars_backfill,
2022,19,KAB GUNUNG KIDUL,4,ewars_backfill,
2022,19,KAB KULON PROGO,8,ewars_backfill,
2022,19,KAB SLEMAN,10,ewars_backfill,
2022,19,KOTA YOGYAKARTA,1,ewars_backfill,
2022,20,KAB BANTUL,21,ewars_backfill,
2022,20,KAB GUNUNG KIDUL,8,ewars_backfill,
2022,20,KAB KULON PROGO,2,ewars_backfill,
2022,20,KAB SLEMAN,9,ewars_backfill,
2022,20,KOTA YOGYAKARTA,2,ewars_backfill,
2022,21,KAB BANTUL,23,ewars_backfill,
2022,21,KAB GUNUNG KIDUL,7,ewars_backfill,
2022,21,KAB KULON PROGO,10,ewars_backfill,
2022,21,KAB SLEMAN,12,ewars_backfill,
2022,21,KOTA YOGYAKARTA,4,ewars_backfill,
2022,22,KAB BANTUL,30,ewars_backfill,
2022,22,KAB GUNUNG KIDUL,9,ewars_backfill,
2022,22,KAB KULON PROGO,4,ewars_backfill,
2022,22,KAB SLEMAN,10,ewars_backfill,
2022,22,KOTA YOGYAKARTA,2,ewars_backfill,
2022,23,KAB BANTUL,22,ewars_backfill,
2022,23,KAB GUNUNG KIDUL,3,ewars_backfill,
2022,23,KAB KULON PROGO,5,ewars_backfill,
2022,23,KAB SLEMAN,13,ewars_backfill,
2022,23,KOTA YOGYAKARTA,7,ewars_backfill,
2022,24,KAB BANTUL,27,ewars_backfill,
2022,24,KAB GUNUNG KIDUL,9,ewars_backfill,
2022,24,KAB KULON PROGO,9,ewars_backfill,
2022,24,KAB SLEMAN,14,ewars_backfill,
2022,24,KOTA YOGYAKARTA,2,ewars_backfill,
2022,25,KAB BANTUL,18,ewars_backfill,
2022,25,KAB GUNUNG KIDUL,6,ewars_backfill,
2022,25,KAB KULON PROGO,3,ewars_backfill,
2022,25,KAB SLEMAN,13,ewars_backfill,
2022,25,KOTA YOGYAKARTA,5,ewars_backfill,
2022,26,KAB BANTUL,18,ewars_backfill,
2022,26,KAB GUNUNG KIDUL,6,ewars_backfill,
2022,26,KAB KULON PROGO,7,ewars_backfill,
2022,26,KAB SLEMAN,15,ewars_backfill,
2022,26,KOTA YOGYAKARTA,2,ewars_backfill,
2022,27,KAB BANTUL,29,ewars_backfill,
2022,27,KAB GUNUNG KIDUL,0,ewars_backfill,
2022,27,KAB KULON PROGO,8,ewars_backfill,
2022,27,KAB SLEMAN,27,ewars_backfill,
2022,27,KOTA YOGYAKARTA,11,ewars_backfill,
2022,28,KAB BANTUL,36,ewars_backfill,
2022,28,KAB GUNUNG KIDUL,0,ewars_backfill,
2022,28,KAB KULON PROGO,6,ewars_backfill,
2022,28,KAB SLEMAN,20,ewars_backfill,
2022,28,KOTA YOGYAKARTA,3,ewars_backfill,
2022,29,KAB BANTUL,24,ewars_backfill,
2022,29,KAB GUNUNG KIDUL,7,ewars_backfill,
2022,29,KAB KULON PROGO,4,ewars_backfill,
2022,29,KAB SLEMAN,11,ewars_backfill,
2022,29,KOTA YOGYAKARTA,1,ewars_backfill,
2022,30,KAB BANTUL,38,ewars_backfill,
2022,30,KAB GUNUNG KIDUL,2,ewars_backfill,
2022,30,KAB KULON PROGO,2,ewars_backfill,
2022,30,KAB SLEMAN,7,ewars_backfill,
2022,30,KOTA YOGYAKARTA,4,ewars_backfill,
2022,31,KAB BANTUL,20,ewars_backfill,
2022,31,KAB GUNUNG KIDUL,4,ewars_backfill,
2022,31,KAB KULON PROGO,4,ewars_backfill,
2022,31,KAB SLEMAN,11,ewars_backfill,
2022,31,KOTA YOGYAKARTA,8,ewars_backfill,
2022,32,KAB BANTUL,30,ewars_backfill,
2022,32,KAB GUNUNG KIDUL,3,ewars_backfill,
2022,32,KAB KULON PROGO,7,ewars_backfill,
2022,32,KAB SLEMAN,3,ewars_backfill,
2022,32,KOTA YOGYAKARTA,4,ewars_backfill,
2022,33,KAB BANTUL,35,ewars_backfill,
2022,33,KAB GUNUNG KIDUL,1,ewars_backfill,
2022,33,KAB KULON PROGO,3,ewars_backfill,
2022,33,KAB SLEMAN,15,ewars_backfill,
2022,33,KOTA YOGYAKARTA,6,ewars_backfill,
2022,34,KAB BANTUL,32,ewars_backfill,
2022,34,KAB GUNUNG KIDUL,2,ewars_backfill,
2022,34,KAB KULON PROGO,3,ewars_backfill,
2022,34,KAB SLEMAN,8,ewars_backfill,
2022,34,KOTA YOGYAKARTA,5,ewars_backfill,
2022,35,KAB BANTUL,21,ewars_backfill,
2022,35,KAB GUNUNG KIDUL,3,ewars_backfill,
2022,35,KAB KULON PROGO,3,ewars_backfill,
2022,35,KAB SLEMAN,11,ewars_backfill,
2022,35,KOTA YOGYAKARTA,4,ewars_backfill,
2022,36,KAB BANTUL,29,ewars_backfill,
2022,36,KAB GUNUNG KIDUL,5,ewars_backfill,
2022,36,KAB KULON PROGO,10,ewars_backfill,
2022,36,KAB SLEMAN,10,ewars_backfill,
2022,36,KOTA YOGYAKARTA,2,ewars_backfill,
2022,37,KAB BANTUL,13,ewars_backfill,
2022,37,KAB GUNUNG KIDUL,1,ewars_backfill,
2022,37,KAB KULON PROGO,3,ewars_backfill,
2022,37,KAB SLEMAN,19,ewars_backfill,
2022,37,KOTA YOGYAKARTA,8,ewars_backfill,
2022,38,KAB BANTUL,20,ewars_backfill,
2022,38,KAB GUNUNG KIDUL,1,ewars_backfill,
2022,38,KAB KULON PROGO,6,ewars_backfill,
2022,38,KAB SLEMAN,13,ewars_backfill,
2022,38,KOTA YOGYAKARTA,7,ewars_backfill,
2022,39,KAB BANTUL,20,ewars_backfill,
2022,39,KAB GUNUNG KIDUL,2,ewars_backfill,
2022,39,KAB KULON PROGO,4,ewars_backfill,
2022,39,KAB SLEMAN,15,ewars_backfill,
2022,39,KOTA YOGYAKARTA,2,ewars_backfill,
2022,40,KAB BANTUL,19,ewars_backfill,
2022,40,KAB GUNUNG KIDUL,3,ewars_backfill,
2022,40,KAB KULON PROGO,3,ewars_backfill,
2022,40,KAB SLEMAN,11,ewars_backfill,
2022,40,KOTA YOGYAKARTA,3,ewars_backfill,
2022,41,KAB BANTUL,24,ewars_backfill,
2022,41,KAB GUNUNG KIDUL,2,ewars_backfill,
2022,41,KAB KULON PROGO,4,ewars_backfill,
2022,41,KAB SLEMAN,14,ewars_backfill,
2022,41,KOTA YOGYAKARTA,3,ewars_backfill,
2022,42,KAB BANTUL,18,ewars_backfill,
2022,42,KAB GUNUNG KIDUL,5,ewars_backfill,
2022,42,KAB KULON PROGO,11,ewars_backfill,
2022,42,KAB SLEMAN,11,ewars_backfill,
2022,42,KOTA YOGYAKARTA,4,ewars_backfill,
2022,43,KAB BANTUL,18,ewars_backfill,
2022,43,KAB GUNUNG KIDUL,1,ewars_backfill,
2022,43,KAB KULON PROGO,4,ewars_backfill,
2022,43,KAB SLEMAN,17,ewars_backfill,
2022,43,KOTA YOGYAKARTA,3,ewars_backfill,
2022,44,KAB BANTUL,19,ewars_backfill,
2022,44,KAB GUNUNG KIDUL,1,ewars_backfill,
2022,44,KAB KULON PROGO,4,ewars_backfill,
2022,44,KAB SLEMAN,23,ewars_backfill,
2022,44,KOTA YOGYAKARTA,4,ewars_backfill,
2022,45,KAB BANTUL,21,ewars_backfill,
2022,45,KAB GUNUNG KIDUL,1,ewars_backfill,
2022,45,KAB KULON PROGO,8,ewars_backfill,
2022,45,KAB SLEMAN,10,ewars_backfill,
2022,45,KOTA YOGYAKARTA,2,ewars_backfill,
2022,46,KAB BANTUL,17,ewars_backfill,
2022,46,KAB GUNUNG KIDUL,2,ewars_backfill,
2022,46,KAB KULON PROGO,8,ewars_backfill,
2022,46,KAB SLEMAN,10,ewars_backfill,
2022,46,KOTA YOGYAKARTA,3,ewars_backfill,
2022,47,KAB BANTUL,21,ewars_backfill,
2022,47,KAB GUNUNG KIDUL,3,ewars_backfill,
2022,47,KAB KULON PROGO,5,ewars_backfill,
2022,47,KAB SLEMAN,17,ewars_backfill,
2022,47,KOTA YOGYAKARTA,3,ewars_backfill,
2022,48,KAB BANTUL,22,ewars_backfill,
2022,48,KAB GUNUNG KIDUL,3,ewars_backfill,
2022,48,KAB KULON PROGO,4,ewars_backfill,
2022,48,KAB SLEMAN,9,ewars_backfill,
2022,48,KOTA YOGYAKARTA,4,ewars_backfill,
2022,49,KAB BANTUL,27,ewars_backfill,
